tutorialarea_shop_title,판매 목록
storyEvent_exchange_description,아이템을 교환하자!
storyEvent_exchange_limitBalloon,까지 교환 가능
bandstory_rewardList,밴드 랭크 보상 일람
tutorial_slideTitle_a,그럼 시작하자!
tutorial_slideTitle_b,라이브의 조작법을 배워보자!
tutorial_slideTitle_c,라이브 종료! 참 잘했어♪
tutorial_slideTitle_d,에어리어에서 일상 대화를 보자!
tutorial_slideTitle_e,튜토리얼 클리어!
tutorial_slideTitle_areaItemEnter,에어리어 아이템을 사자!
tutorial_slideTitle_areaItemPurchase,에어리어 아이템 설치 완료!
tutorial_slideTitle_Costume,캐릭터의 의상을 변경해보자!
tutorial_slideTitle_Exchange,교환소에서 귀중품을 획득해보자!
tutorial_slideTitle_friend,친구를 만들자!
tutorial_slideTitle_multiPlay,협력 라이브를 해보자!
tutorial_slideTitle_musicShop,음악을 교환해보자!
tutorial_slideTitle_training,멤버를 특훈시켜 보자!
tutorial_slideTitle_bandStory,밴드 스토리를 보자!
tutorial_slideTitle_practice,멤버를 연습시켜 보자!
tutorial_slideTitle_situationDetail,에피소드를 보자!
tutorial_slideTitle_skillPractice,스킬 연습을 해보자!
tutorial_slideWindow_liveButton,새로운 음악이 늘어났어!\n라이브에서 연주해보자♪
tutorial_slideWindow_storyButton,이어지는 메인 스토리는!\n스토리에서 볼 수 있어♪
versusEvent_result_noBonusMember_Description,합동 라이브에서는\n라이브에 공헌한 순위에 따라 계산되는 공헌P와\n개인 스코어에 따라 계산되는 스코어 보너스의 합이\n획득 이벤트P가 됩니다.
versusEvent_top_attention,합동 라이브 이외에는 이벤트P를 획득할 수 없습니다.
warehouse_checkEffect,효과 확인
warehouse_checkEffectTitle,설치 에어리어 아이템 효과 목록
warehouse_checkEffectTitleAfter,에어리어 아이템 일괄 변경 완료
warehouse_notHave,이 장소에 설치할 수 있는\n에어리어 아이템을 가지고 있지 않습니다.
warehouse_recommend,자동 일괄 변경
word_achievementFee,달성 보상
word_actOnSettlement,자금 결제법에 근거한 표기
word_areaItemBonus,에어리어 아이템 보너스
word_attribute_cool,쿨
word_attribute_happy,해피
word_attribute_powerful,파워풀
word_attribute_pure,퓨어
word_all,전부
word_band,밴드
word_bandEdit,밴드 편성
word_bandParameter,밴드 파라미터
word_bandrank,밴드 랭크
word_bandrankEXP,밴드 랭크EXP
word_betweenFrom,~
word_birthDay,생일
word_buy,구매
word_canNotApplyFriendRequest,신청 불가
word_change,변경
word_challengeOK,도전 가능
word_challengeNG,도전 종료
word_challengeLive,챌린지 라이브
word_challengeLiveBonus,챌린지 라이브 보너스
word_coin,코인
word_coinCount,코인 x {0}
word_confirm,확인
word_countNum,x {0}
word_countUnit,회
word_constellation,별자리
word_contribution_points,공헌P
word_copy,복사
word_copyId,ID복사
word_costume,의상
word_currencyGuidelines,게임 내 통화 가이드 라인
word_cv,CV
word_day,일
word_dayNumber,{0}일차
word_dateFormat_MMDDHHmm,MM/dd HH:mm
word_dateFormat_MD,M월 d일
word_dateFormat_yyyyMMDD,yyyy/MM/dd
word_dateFormat_yyyyMMDDHHmm,yyyy/MM/dd HH:mm
word_default,디폴트
word_defaultButton,디폴트로\n되돌리기
word_degree,칭호
word_detail,상세
word_downloadingData,NOW LOADING
word_encoreButtonLabel,다시 한번 라이브
word_entry,참가 신청
word_entryUserId,참가 신청용 플레이어ID
word_equip_costume,의상 설정 중
word_expire,{0} 까지
word_exOk,OK!
word_exp,EXP
word_eventHighScore,이벤트 하이 스코어
word_eventScore,이벤트 스코어
word_event_item_badge_count,개
word_favoriteFood,좋아하는 음식
word_free,무료
word_friend,친구
word_alreadyInviteFriend,초대 중
word_friendInvitation,친구 초대
word_friendInvitationRoom,친구\n초대 룸
word_friendRelease,친구 해제
word_friendRequest,친구 신청
word_fullVoice,풀 보이스
word_getCP,획득 챌린지P
word_getExp,획득 EXP
word_hatefulFood,싫어하는 음식
word_have,소지
word_haveCP,소지 챌린지P
word_haveStar,소지 스타
word_highScore,하이 스코어
word_highScoreRating,하이 스코어 레이팅
word_hour,시간
word_hobby,취미
word_howToGet,오픈 조건
word_idSearch,ID검색
word_item,아이템
word_itemCount,{0} x {1}
word_lastLoginAt,최종 로그인
word_lastLoginAtTime,최종 로그인 시간
word_leader,리더
word_level,레벨
word_levelAndNum,레벨 {0}
word_levelUp,레벨 업
word_life,라이프
word_liveBoost,라이브 부스트
word_liveBoost_limitFormat,/{0}
word_liveBoost_recoveryTimeNone,-- : --
word_liveReward,라이브 보상
word_liveSetting,라이브 설정
word_liveStart,라이브 스타트!
word_lv,Lv.
word_mainBandTotalParam,메인 밴드 종합력
word_max,MAX
word_medalUnit,장
word_memberExp,멤버 EXP
word_memberUnit,{0}명
word_michelleSeal,미셸 스티커
word_michelleUnit,{0}장
word_minute,분
word_modeNormal,일반
word_modeEvent,이벤트
word_modeSpecial,특별
word_moreThan,이상
word_music,음악
word_musicTag_cover,커버
word_musicTag_original,오리지널
word_musicLevel,음악 레벨
word_nothing,없음
word_notPublish,비공개
word_off,OFF
word_on,ON
word_open,오픈
word_other,그 외
word_p,P
word_paid,유료
word_paidstar,유료 스타
word_part,파트
word_percentage,%
word_place,공연장
word_playDate,플레이 일시
word_player,플레이어
word_playerId,플레이어ID
word_possessionChallengeP,소지 챌린지P
word_possessionMedalFormat,소지 {0}
word_private,프라이빗
word_privateUnlockFinish,룸 오픈 완료
word_putItem,설치
word_qualificationtTotalHighScore,합계 예선 하이 스코어
word_qualificationtHighScore,예선 하이 스코어
word_qualificationtSecondScore,본예선 스코어
word_randomSelect,선곡 위임
word_rankExp,랭크 EXP
word_rankGrade,위
word_rankGradeFromAtoB,{0}~{1}위
word_ranking,랭킹
word_readyOk,준비완료!
word_recommend,추천
word_recommendDeck,추천 편성
word_remain,남음
word_require,필요
word_requireItem,필요 아이템
word_requestCancel,신청 취소
word_reset,초기화
word_rest,앞으로
word_reward,보상
word_rewardList,보상 목록
word_rewardItemName,획득 아이템 이름
word_rule,룰
word_unlock_room,룸 오픈
word_unlock_room_finish,룸 오픈 완료
word_school,학교
word_school_middle,중학교 
word_school_high,고등학교 
word_schoolYear,학년
word_schoolYearSuffix, 학년
word_secret,???
word_selfIntroduction,자기소개
word_score,스코어
word_scoreRank,스코어 랭크
word_second,초
word_select,선택
word_selected,선택 중
word_skill,스킬
word_setting,설정
word_shop,상점
word_skillLevel,스킬 Lv.
word_sort_createdAt,입수순
word_sort_level,레벨
word_sort_paramSumDetail,종합력 상세
word_sort_paramSum,종합력
word_sort_paramPerformance,퍼포먼스
word_sort_paramTechnique,테크닉
word_sort_paramVisual,비주얼
word_sort_rarity,레어도
word_sort_skillLevel,스킬 Lv.
word_specifiedCommercialTransactionLaw,특정상거래법에 근거한 표기
word_spend,소비
word_spendNo,소비 없음
word_star,스타
word_starCount,스타 x {0}
word_starShop,스타 상점
word_start,시작
word_stamp,스탬프
word_stampRare,레어 스탬프
word_targetMusic,대상 음악
word_targetScore,목표 스코어
word_times,배!
word_times_simple,배
word_toNext,다음
word_top,TOP
word_total,합계
word_totalScore,토털 스코어
word_training,특훈
word_until,까지
word_untilExchange,까지 교환 가능
word_updateHighscore,하이 스코어 갱신!
word_usedCard,설정 중
word_waitEnterRoom,입장 대기
dialog_gameCenterAuthError_title,인증 오류
dialog_gameCenterAuthError_message,GameCenter에 로그인하시기 바랍니다.
storyEvent_result_nothing,없음
dialog_liveBoostLack_healLBButton,회복
dialog_liveSettings_coreCharacterCutIn,컷 인
dialog_liveSettings_standardLightFever,FEVER 연출 저스펙 모드
dialog_liveSettings_tabSystemSetting,시스템 설정
gacha_top_oneTimeOnly,1일 1회\n한정!
multiPlay_abDownloadNotRetryableError_message,통신 오류가 발생했습니다.\n홈으로 이동합니다.
dialog_account_account_switch,계정 전환
dialog_account_google_login,구글플레이 로그인
dialog_account_google_logout,구글플레이 로그아웃
dialog_account_logout,로그아웃
dialog_account_ungregister,게임탈퇴
dialog_error_kakao_guest,게스트 계정으로는 공식 카페를 이용할 수 없습니다.
dialog_kakao_notify,카카오 알림
dialog_night_push_notify,야간 푸시 알림
dialog_push_notify,푸시 알림
dialog_starShop_allReceived,모든 선물을\n수령하였습니다.
dialog_starShop_buyStarFormatUSD,${0}
dialog_starShop_cannotBuyPass,구매 후 30일이 지나면\n다시 구매하실 수 있습니다.
dialog_starShop_withdrawMessage,사용하지 않은 보상은 구매일로부터 7일 이내 청약 철회가 가능하며 법적 대리인 미동의 결제는 취소 가능합니다.
kakao_invite_msg_exceed_daily_usage,하루에 보낼 수 있는 초대 메시지 개수를 초과하였습니다.
kakao_invite_msg_exceed_monthly_usage,한달에 보낼 수 있는 초대 메시지 개수를 초과하였습니다.
kakao_invite_msg_failure,초대 메시지를 전송하는 도중에 오류가 발생하였습니다.
kakao_invite_msg_not_allowed,초대 메시지가 수신 거부 설정되어 있습니다.
kakao_invite_msg_success,초대 메시지를 성공적으로 전송하였습니다.
kakao_message_template_id,6063
menuList_account,계정
menuList_account_switch,계정 전환
menuList_cafetalk_button,공식 카페
menuList_coupon_register,쿠폰 등록
menuList_customer_center,고객센터
menuList_kakao_friend,카카오 친구
menuList_noti_config,알림 설정
menuList_userid,게임 회원 번호
multiPlay_nolife,라이프 없음!\n획득 스코어 DOWN
msg_account_google_login_failure,로그인하는 데 실패하였습니다.
msg_account_google_login_success,성공적으로 로그인 하였습니다.
msg_account_google_logout,로그아웃 되었습니다.
msg_copy_to_clipboard,클립보드로 복사하였습니다.
msg_coupon_register_failure,쿠폰을 등록하는 데 오류가 발생하였습니다.
msg_coupon_register_success,성공적으로 쿠폰을 등록하였습니다.
msg_show_allow_message_failure,카카오톡 게임 메시시 수신 여부 설정을 실패하였습니다.
msg_show_allow_message_not_kakaotalk_user,로그인 한 유저가 「카카오톡」 유저가 아닙니다.
msg_starshop_guest_cannot_buy,현재 계정연동이 되어 있지 않습니다.\n다른 기기에서도 해당 서비스를 동일하게 이용하려면 계정연동을 해야합니다.
msg_switch_account_failure,계정 전환 중에 오류가 발생하였습니다.
msg_switch_account_invalid_state,게스트 로그인 상태가 아닙니다.
msg_switch_account_not_authorized,카카오 계정이 인증되지 않았습니다.
msg_switch_account_success,성공적으로 카카오 계정으로 전환되었습니다.
msg_switch_account_used_account,이미 사용 중인 카카오 계정입니다.
url_setting_dialog_help,http://cs.kakao.com/helps?articleId=1073190365&category=354&device=1076&locale=ko&service=4
url_star_shop_help,https://cs.kakao.com/helps?category=354&device=1077&locale=ko&service=4&articleId=1073190458&page=1
word_badge,뱃지
word_do_invite,초대하기
word_gachaByStar,스타로 뽑기
word_gachaByTicket,티켓으로 뽑기
word_haveCount,소지 수
word_soldout,구매했습니다.
word_stock,재고
word_toPrev,이전
word_remain_marina,남음
gacha_result_detailButton,뽑기\n상세
area_shop_title,판매 목록
dialog_liveSetting_specialSkin,-
dialog_support_message_4,(답장은 개별적으로 전달되지 않습니다.)
dialog_systemSettings_captionNotification,푸시 알림
dialog_systemSettings_captionSystem,시스템
dialog_systemSettings_captionSystemVolume,시스템 볼륨
dialog_systemSettings_lateNightNotification,야간 푸시 알림
dialog_systemSettings_lbFullRecovered,전체 회복
dialog_systyemSettings_notificationDescription,※디바이스 설정에서 알림을 OFF로 설정하신 경우 앱에서 알림 푸시를 받지 않습니다.\n주의 바랍니다.\n(야간 푸시의 기준 시간은 00:00 ~ 5:59까지 입니다.)
musicSelect_musicSortFilter_missCount,MISS 개수
musicSelect_musicSortFilter_playCount,플레이 회수
dialog_liveSettings_fieldSkin,레인・판정 라인
memorialStory_transition_bandCell,밴드 스토리로 이동
comicTop_button_zoom,확대
comicTop_button_read,보기
musicSelect_existMV,MV 있음
exchange_emptyDescription,해당 조건을 만족하는 내용이 없습니다.
dialog_liveSetting_specialSkinBalloon,기간 한정 스킨 있음
